banheiros;quartos;andar;area;suites;aluguel;custo;condo_iptu;vagas;nao_mobiliado;animal;arm_coz;arm_quar;box;arm_ban;sol_man;silencio;novo;luz;sol_tar;vista_livre;chuveiro_ele;tomada_nova;gas_enc;porteiro;elevador;salao_fest;piscina;churrasqueira;metro;esp_gourmet;quadra;academia;hipercentro;zona_sul;zona_norte;zona_leste;zona_oeste;apartamento;casa;latitude;longitude
4;4;14;196;2;8000;11397;3290;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;-19,9723596;-43,9411742
3;4;0;256;2;11000;11304;123;2;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;-19,9406557;-43,9231474
4;4;5;273;3;7800;11252;3348;4;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;-19,9334849;-43,9452097
4;4;0;285;3;11000;11199;0;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;-19,9702479;-43,9472364
5;3;0;662;1;11000;11199;0;6;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;-19,8598803;-43,9848059
4;4;13;220;2;8000;11174;3067;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;1;1;1;0;1;0;0;0;1;0;-19,9735952;-43,9372893
5;4;5;200;2;9000;11154;2034;3;0;0;1;1;1;1;1;0;1;1;1;1;0;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;-19,928205;-43,9449082
4;4;0;727;2;9500;11135;1463;3;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;-19,9634489;-43,9354103
4;4;6;172;2;7500;11105;3505;4;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;1;1;0;1;0;0;0;1;0;-19,9671273;-43,9504772
5;5;0;622;3;10000;11088;924;6;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;-19,9503922;-43,9175566
4;4;1;413;3;7900;11012;3006;3;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;-19,9301899;-43,9355377
3;3;0;700;1;10000;10971;807;8;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;-19,8757946;-43,9825329
6;4;9;270;2;6900;10951;3959;4;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;1;1;1;1;1;0;0;1;1;0;1;0;0;0;1;0;-19,9769021;-43,9434673
2;5;0;521;1;10000;10907;743;3;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0;0;1;1;0;1;0;0;0;0;1;0;0;0;1;-19,857496;-43,986338
3;4;0;573;2;10000;10901;737;6;1;1;1;1;1;0;1;1;0;1;1;1;1;0;0;0;0;0;1;1;0;1;0;0;0;0;1;0;0;0;1;-19,8587133;-43,9681867
